,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
146,Ahipara,14,NZ,6/17/2021 18:00,89,-35.1667,173.1667,52.77,4.23
147,Catumbela,22,AO,6/17/2021 18:00,84,-12.4314,13.5472,72.27,3.2
148,Cayenne,75,GF,6/17/2021 18:00,88,4.9333,-52.3333,80.1,1.99
149,Waunakee,83,US,6/17/2021 17:57,37,43.1919,-89.4557,83.5,5.01
150,Bubaque,44,GW,6/17/2021 18:00,78,11.2833,-15.8333,81.75,10.18
151,Korla,50,CN,6/17/2021 18:00,17,41.7597,86.1469,74.98,2.71
152,Maiduguri,54,NG,6/17/2021 18:00,29,11.8464,13.1603,95.65,2.48
154,Avera,24,US,6/17/2021 17:58,34,33.194,-82.5271,85.12,2.26
155,Lompoc,44,US,6/17/2021 18:00,43,34.6391,-120.4579,88.43,3.0
157,Airai,68,TL,6/17/2021 18:00,93,-8.9266,125.4092,57.65,3.4
160,Palu,92,ID,6/17/2021 18:00,96,-0.8917,119.8707,74.32,3.15
162,Patitiri,30,GR,6/17/2021 18:00,73,39.15,23.8667,72.37,12.08
163,Butaritari,76,KI,6/17/2021 18:00,68,3.0707,172.7902,82.99,14.38
164,Sibolga,74,ID,6/17/2021 18:00,84,1.7427,98.7792,76.48,3.58
166,Mandurah,0,AU,6/17/2021 17:56,74,-32.55,115.7,42.67,9.69
167,Vao,7,NC,6/17/2021 18:00,75,-22.6667,167.4833,71.58,4.99
168,Safaga,0,EG,6/17/2021 18:00,35,26.7292,33.9365,86.14,13.6
170,Codrington,74,AU,6/17/2021 18:00,90,-38.2667,141.9667,51.6,8.57
171,Jiangyou,100,CN,6/17/2021 18:00,84,31.7667,104.7167,66.22,0.2
174,Benavente,92,ES,6/17/2021 18:00,55,42.0025,-5.6783,70.86,14.03
175,Doha,0,QA,6/17/2021 17:57,19,25.2867,51.5333,98.58,16.11
181,Lianran,41,CN,6/17/2021 18:01,90,24.9227,102.485,64.45,3.85
183,Padang,99,ID,6/17/2021 17:57,80,-0.9492,100.3543,76.93,4.05
184,Korhogo,79,CI,6/17/2021 18:01,42,9.45,-5.6333,89.51,4.85
185,Robertsport,59,LR,6/17/2021 18:01,76,6.7533,-11.3686,81.54,8.88
186,Bosaso,70,SO,6/17/2021 18:01,39,11.2842,49.1816,94.15,7.7
187,Kavieng,97,PG,6/17/2021 18:01,77,-2.5744,150.7967,79.72,1.07
188,Simpang,94,ID,6/17/2021 18:01,97,-1.2667,104.0833,74.62,3.09
189,Kibaya,94,TZ,6/17/2021 18:01,75,-5.3,36.5667,59.27,6.2
191,Blackwater,37,AU,6/17/2021 18:01,36,-23.5833,148.8833,56.5,7.58
192,Tessalit,0,ML,6/17/2021 18:01,6,20.1986,1.0114,103.42,12.1
193,Taltal,1,CL,6/17/2021 17:56,57,-25.4,-70.4833,66.76,5.99
194,Caratinga,53,BR,6/17/2021 18:01,54,-19.7897,-42.1392,73.02,4.72
196,Sovetskaya,39,RU,6/17/2021 18:01,90,44.7769,41.1722,61.02,5.97
197,Riyadh,0,SA,6/17/2021 17:57,6,24.6877,46.7219,102.25,16.11
198,Alofi,95,NU,6/17/2021 18:01,82,-19.0595,-169.9187,77.92,11.68
201,Lashio,97,MM,6/17/2021 18:01,97,22.9333,97.75,68.5,2.24
202,Coquimbo,92,CL,6/17/2021 18:01,68,-29.9533,-71.3436,60.4,6.44
203,Mandalgovi,0,MN,6/17/2021 18:01,49,45.7625,106.2708,53.24,5.53
204,Nador,0,MA,6/17/2021 18:01,56,35.174,-2.9287,73.65,11.5
205,Taicheng,6,CN,6/17/2021 18:01,40,38.731,113.228,58.03,4.9
208,Sumisip,100,PH,6/17/2021 18:01,83,6.4197,121.9714,80.37,4.85
209,Geraldton,0,AU,6/17/2021 18:01,82,-28.7667,114.6,52.21,12.66
210,Salalah,96,OM,6/17/2021 18:01,86,17.0151,54.0924,82.2,6.6
211,Micheweni,100,TZ,6/17/2021 18:01,83,-4.9667,39.8333,75.94,12.03
213,Nhulunbuy,3,AU,6/17/2021 18:01,94,-12.2333,136.7667,75.81,6.91
214,Chepareria,93,KE,6/17/2021 18:01,77,1.3077,35.2039,62.02,5.26
216,Beira,20,MZ,6/17/2021 18:01,88,-19.8436,34.8389,69.89,6.91
217,Curvelo,9,BR,6/17/2021 18:01,20,-18.7564,-44.4308,83.17,6.8
