City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
288,Maragogi,38,BR,6/17/2021 18:01,78,-9.0122,-35.2225,79.2,10.42
289,Mairi,11,BR,6/17/2021 18:01,39,-11.7114,-40.1489,84.61,8.77
290,Bowen,37,AU,6/17/2021 18:01,72,-20.0167,148.2333,68.29,9.17
291,Sirte,0,LY,6/17/2021 18:01,63,31.2089,16.5887,74.1,16.62
292,Fare,60,PF,6/17/2021 18:01,67,-16.7,-151.0167,80.42,22.57
293,Constitución,7,CL,6/17/2021 18:01,65,-35.3333,-72.4167,59.5,4.27
294,Pizarro,94,CO,6/17/2021 18:01,80,4.9533,-77.366,81.05,7.14
295,Mundra,11,IN,6/17/2021 18:01,70,22.85,69.7333,86.52,12.73
296,San Juan,9,AR,6/17/2021 17:58,51,-31.5375,-68.5364,45.3,4.25
297,Saldanha,96,ZA,6/17/2021 18:01,88,-33.0117,17.9442,61,12.17
298,Dalianwan,0,CN,6/17/2021 18:01,88,39.0286,121.695,64.44,4.47
299,Mount Isa,38,AU,6/17/2021 18:01,31,-20.7333,139.5,58.77,10.36
300,Kumul,98,CN,6/17/2021 18:01,12,42.8,93.45,79.9,7.07
301,Gwembe,5,ZM,6/17/2021 18:01,61,-16.4975,27.6069,56.26,2.46
302,Dwārka,96,IN,6/17/2021 18:01,69,22.2394,68.9678,86.52,15.5
303,Alghero,0,IT,6/17/2021 18:01,54,40.5589,8.3181,82.49,11.5
304,Taoudenni,0,ML,6/17/2021 18:01,5,22.6783,-3.9836,113.52,7.38
305,Ukiah,1,US,6/17/2021 18:01,29,39.1502,-123.2078,84.16,3.44
306,Pahlgām,50,IN,6/17/2021 18:01,78,34.0333,75.3333,51.31,5.44
307,Bujaru,38,BR,6/17/2021 18:01,73,-1.515,-48.0447,86.02,3.62
308,Namatanai,95,PG,6/17/2021 18:01,83,-3.6667,152.4333,78.39,6.62
309,Vondrozo,5,MG,6/17/2021 18:01,97,-22.8167,47.2833,57.36,2.68
310,Caravelas,74,BR,6/17/2021 18:01,62,-17.7125,-39.2481,75.97,5.55
311,Potosí,15,BO,6/17/2021 18:02,15,-19.5836,-65.7531,51.8,23.2
312,Meulaboh,50,ID,6/17/2021 18:02,85,4.1363,96.1285,76.64,3.36
313,Boma,83,GH,6/17/2021 18:02,71,7.0805,-2.1697,79.32,3.04
314,Bonthe,74,SL,6/17/2021 18:02,70,7.5264,-12.505,82.78,7.67
315,Talas,20,TR,6/17/2021 18:02,43,38.6908,35.5538,68.67,9.22
316,Huilong,100,CN,6/17/2021 18:02,95,31.8111,121.655,75.97,3.74
317,Semīrom,22,IR,6/17/2021 18:02,18,31.4167,51.5667,73.02,4.79
318,Port Lincoln,96,AU,6/17/2021 17:57,71,-34.7333,135.8667,54.88,26.11
319,Sorrento,4,IT,6/17/2021 18:02,75,40.626,14.3744,75.36,8.41
320,Grootfontein,0,NA,6/17/2021 18:02,27,-19.5667,18.1167,60.94,4.43
321,Hirara,100,JP,6/17/2021 18:02,86,24.8,125.2833,83.75,9.04
322,Pasān,96,IN,6/17/2021 18:02,86,22.85,82.2,74.95,3.09
323,Kailahun,73,SL,6/17/2021 17:59,90,8.2833,-10.5667,78.24,1.86
324,Bathsheba,100,BB,6/17/2021 18:02,76,13.2167,-59.5167,82.06,19.8
325,Potam,82,MX,6/17/2021 18:02,36,27.6,-110.3833,99.77,4.29
326,Port Keats,41,AU,6/17/2021 18:02,52,-14.25,129.55,74.28,6.67
327,Hīt,0,IQ,6/17/2021 18:02,20,33.6416,42.8251,87.58,16.2
328,Biltine,86,TD,6/17/2021 18:02,14,14.5333,20.9167,95.83,7.16
329,Nosy Varika,0,MG,6/17/2021 18:02,78,-20.5833,48.5333,66.72,1.81
330,Koungou,20,YT,6/17/2021 18:02,78,-12.7336,45.2042,74.91,5.75
331,Katsuura,13,JP,6/17/2021 18:02,88,35.1333,140.3,66.06,8.68
332,Rosetta,0,EG,6/17/2021 18:02,66,31.4044,30.4164,72.9,11.9
333,Saint-François,97,FR,6/17/2021 18:02,57,46.4154,3.9054,76.53,3.44
334,Faya,93,SA,6/17/2021 18:02,33,18.3851,42.4509,74.21,1.99
335,San Benito,37,US,6/17/2021 18:02,6,36.6166,-121.0844,75.4,3.06
336,El Alto,14,PE,6/17/2021 18:02,65,-4.2714,-81.2147,74.68,13.89
337,Puerto Quijarro,86,BO,6/17/2021 18:02,47,-17.7833,-57.7667,76.87,6.02
338,Yoichi,27,JP,6/17/2021 18:02,92,43.2039,140.7703,57.7,4.03
